timestamp,sensor_id,roll,pitch,yaw
2025-07-14T18:52:07.510436,6,1.31,-1.62,2.38
2025-07-14T18:52:07.510473,2,-1.37,1.67,2.32
2025-07-14T18:52:07.513551,4,-1.78,7.46,-38.85
2025-07-14T18:52:07.513586,6,1.29,-1.58,2.39
2025-07-14T18:52:07.620741,2,-1.37,1.66,2.31
2025-07-14T18:52:07.620807,2,-1.37,1.63,2.3
2025-07-14T18:52:07.620845,6,1.23,-1.59,2.39
2025-07-14T18:52:08.456077,6,1.25,-1.63,2.41
2025-07-14T18:52:08.456291,2,-1.36,1.7,2.23
2025-07-14T18:52:08.456329,4,-1.83,7.52,-39.09
2025-07-14T18:52:08.459784,6,1.26,-1.61,2.41
2025-07-14T18:52:08.463125,2,-1.37,1.7,2.22
2025-07-14T18:52:08.466253,4,-1.86,7.5,-39.17
2025-07-14T18:52:08.466271,2,-1.35,1.71,2.2
2025-07-14T18:52:08.469520,6,1.28,-1.61,2.4
2025-07-14T18:52:08.469536,2,-1.36,1.71,2.2
2025-07-14T18:52:08.469548,6,1.28,-1.6,2.4
2025-07-14T18:52:08.472779,2,-1.37,1.71,2.21
2025-07-14T18:52:08.472797,2,-1.37,1.69,2.21
2025-07-14T18:52:31.558344,6,0.02,-0.02,0.0
2025-07-14T18:52:31.558447,2,0.01,0.0,0.0
2025-07-14T18:52:31.558487,6,0.01,-0.02,0.0
2025-07-14T18:52:31.558518,2,0.01,0.01,0.0
2025-07-14T18:52:31.560227,4,0.01,-0.02,-0.01
2025-07-14T18:52:31.560280,6,0.01,-0.01,-0.01
2025-07-14T18:52:31.563598,2,0.01,0.01,-0.0
2025-07-14T18:52:31.563663,4,0.0,-0.0,-0.0
2025-07-14T18:52:31.566814,6,0.02,-0.03,-0.01
2025-07-14T18:52:31.566878,2,0.01,0.01,-0.0
2025-07-14T18:52:31.566909,4,0.0,-0.01,-0.0
2025-07-14T18:52:31.570335,6,0.02,-0.01,-0.0
2025-07-14T18:52:31.570426,2,0.0,-0.0,-0.0
2025-07-14T18:52:31.573344,4,-0.0,-0.01,-0.01
2025-07-14T18:52:31.573430,6,0.02,-0.02,0.0
2025-07-14T18:52:31.573461,2,-0.0,-0.0,-0.01
2025-07-14T18:52:31.576529,4,0.0,0.0,-0.01
2025-07-14T18:52:31.576579,6,0.01,-0.01,0.0
